SaoHoa10-SCENE 001: Wide static horizon frame — Cold dawn glare — Volcano sinkhole rim — Detailed Description: acolossal, pitch-black basalt sinkhole yawns open in the middle of a vast, desolate Martian desert under the cold, paledawn light, as high-velocity wind sweeps along the jagged volcanic rim, kicking up thin plumes of rusty dust thatcascade silently into the bottomless subterranean shadows below. | CONTINUITY: none, establishing the geographic scaleof the volcanic terrain and ancient impact zone | NEXT: transition to a tighter vertical view of the primary sinkholeshaft to examine the fractured rock layers | AUDIO: thin howling wind, remote rock grit sliding, low-frequencyatmospheric drone, dust scraping | VOICE : none
SaoHoa10-SCENE 002: Fixed high angle — Pale morning glare — Deep basalt vertical shaft entrance — Detailed Description:looking directly down into the steep, vertical throat of the ancient volcanic passage, where jagged basalt strata andhorizontal dust lines define the geological age of the red planet, while a gentle stream of crimson regolith sandtrickles over the rocky ledge into the dark. | CONTINUITY: volcanic sinkhole scale established, wind forces remainconstant | NEXT: move closer to the fractured ceiling structures deep within the shelter entrance | AUDIO: graveltrickling down deep rock, hollow echo of wind, atmospheric hum | VOICE : none
SaoHoa10-SCENE 003: Low terrain-reading angle — Dim volcanic shadow — Ceiling of the massive lava tube — DetailedDescription: a detailed view of the massive basalt ceiling inside the lava tube threshold reveals extensive network ofancient hairline fractures and deep impact scars caused by centuries of meteorite strikes on the surface directly above,with loose rock fragments trembling slightly under physical stress. | CONTINUITY: vertical descent path defined,structural fractures visible on the basalt dome | NEXT: transition to the interior of the primary base habitat toestablish human presence | AUDIO: deep mechanical vibration through rock, stone grinding, soft wind whisper | VOICE :none
SaoHoa10-SCENE 004: Fixed low angle — Pale amber light — Sleeping pod alcove — Detailed Description: inside the crampedliving quarters, Aiden-charactor slowly sits up on the narrow metal bunk, rubbing his sore eyes as the automated morningalarms chime softly through the dark, cold cabin while he prepares for another isolated workday on this frozen world. |CONTINUITY: transition from the outer geological omen to the private human reality | NEXT: walk to the master diagnosticterminal to check the habitat system logs | AUDIO: low environmental system hum, soft cabin chime, deep breathing,fabric rustling | VOICE : I wake up to the same mechanical hum every single day, knowing there is no one else withinmillions of miles of this frozen rock. | IMAGES: Aiden-charactor
SaoHoa10-SCENE 005: Medium tracking shot — Dim utility strip light — Central hab corridor — Detailed Description:wearing his patched gray flight jumpsuit, Aiden-charactor limps slightly down the narrow, retrofitted metal hallway ofthe primary base toward the environmental control deck, dragging his left hand along the cold copper conduit lines thatstabilize the vital atmospheric seal of the habitat. | CONTINUITY: morning wake up completed, body stiffness andshoulder strain persist | NEXT: analyze the master diagnostic monitor for active system errors and shelter parameters |AUDIO: soft boot thuds on metal floor, air circulation draft, copper piping vibration | VOICE : none | IMAGES:Aiden-charactor
SaoHoa10-SCENE 006: Medium static working frame — Pale monitor glow — Environment deck console — Detailed Description:standing before the primary computer terminal, Aiden-charactor taps the flickering touchscreen, reading the system logsthat display rising radiation levels on the surface and a gradual pressure drop in the secondary storage zones of thehabitat. | CONTINUITY: hallway movement completed, structural diagnostics active | NEXT: access the secure biologicalstorage room to verify freeze-dried seed status | AUDIO: rapid electronic key clicks, high-pitched system hum, coolingfan whir | VOICE : none | IMAGES: Aiden-charactor
SaoHoa10-SCENE 007: Fixed interior frame — Cold blue light — Bio-storage vault room — Detailed Description: inside theheavily insulated storage bay, Aiden-charactor inspects a vertical column of glass-paneled biological freezer drawers,checking the status light that monitors the thermal preservation of the freeze-dried agricultural crop seed collections.| CONTINUITY: diagnostic data received, physical inspection of cargo begins | NEXT: adjust the thermal calibration dialson the master biological refrigeration unit | AUDIO: low hum of refrigerator compressors, click of metallic latches,heavy breath | VOICE : none | IMAGES: Aiden-charactor
SaoHoa10-SCENE 008: Close structural insert — Flickering amber light — Radiation alarm panel — Detailed Description: aclose shot of the bulkhead-mounted sensor display reveals a bright amber warning message detailing extreme solarradiation spike on the surface, prompting Aiden-charactor to shield his eyes slightly from the harsh warning glare whileevaluating the threat. | CONTINUITY: biological vault verified, environmental hazard level rising | NEXT: treat hisphysical shoulder injury at the medical cabinet before preparing the mission | AUDIO: intermittent alarm beep,electrical relay clicking, heavy sighs | VOICE : none | IMAGES: Aiden-charactor
SaoHoa10-SCENE 009: Medium static working frame — Warm white light — Hab medical corner — Detailed Description: sittingon a metal stool, Aiden-charactor reaches around his back with a damp cotton swab, grimacing in silent pain as he cleansa raw shoulder abrasion sustained from hauling heavy equipment during his previous survival shift outside. | CONTINUITY:surface radiation warning active, physical fatigue and injury addressed | NEXT: open the subterranean cave spatialmapping logs on the secondary terminal | AUDIO: tearing of medical tape, soft hiss of antiseptic spray, deep groans ofdiscomfort | VOICE : There are no medics on Mars. If you tear a muscle or infect a scrape, you just have to clean it andkeep moving. | IMAGES: Aiden-charactor
SaoHoa10-SCENE 010: Fixed interior frame — Green screen glow — Subterranean mapping station — Detailed Description: leanforward over the planning desk, Aiden-charactor reviews the green wireframe map of the nearby volcanic lava tube on thecomputer monitor, noting its massive subterranean basalt shield that offers complete protection against solar rays. |CONTINUITY: medical treatment completed, cave planning phase initiated | NEXT: cross-reference the satellite LiDAR scanswith actual cavern floor depth readings | AUDIO: soft keyboard clatter, computer processor fan whir, hum of electricalcircuits | VOICE : none | IMAGES: Aiden-charactor
SaoHoa10-SCENE 011: Anchored over-shoulder — Pale monitor glow — Cavern planning workspace — Detailed Description:tracing his calloused finger along the digital wireframe map, Aiden-charactor identifies the optimal flat shelf insidethe deep basalt lava tube for the construction of the future seed storage bunker, noting the structural stability of thevolcanic ceiling. | CONTINUITY: mapping data loaded, precise installation target identified | NEXT: move to the habgalley to consume a quick automated survival ration | AUDIO: screen sweep chime, quiet mechanical hum of the room, dryfinger scraping glass | VOICE : none | IMAGES: Aiden-charactor
SaoHoa10-SCENE 012: Medium static working frame — Dim yellow light — Hab galley dining table — Detailed Description:sitting alone at the narrow steel table, Aiden-charactor drinks a lukewarm nutrient fluid from a flexible silver pouch,staring blankly at the cold metal bulkhead in front of him as the absolute silence of the base highlights his profoundisolation. | CONTINUITY: target coordinates confirmed, physical refueling phase active | NEXT: monitor water recyclingstatus indicators on the secondary bulkhead panel | AUDIO: plastic pouch crinkling, slow swallowing, low rhythmic hum ofbase water pump | VOICE : none | IMAGES: Aiden-charactor
SaoHoa10-SCENE 013: Close tool insert — Warm amber light — Water reclamation sub-panel — Detailed Description: near thewall, Aiden-charactor uses a small manual wrench to tighten a loose brass valve on the water recycling line, stabilizingthe primary fluid pressure level of the habitat before commencing his high-risk surface mission prep. | CONTINUITY: mealfinished, secondary maintenance tasks underway to ensure base stability | NEXT: inspect the oxygen algae bioreactors toverify atmospheric loop consistency | AUDIO: metal wrench scraping metal, high-pressure fluid hiss, valve clicking shut| VOICE : none | IMAGES: Aiden-charactor
