SCENE_SaoHoa03-001 — PRESET 1 — EXT — WIDE STATIC HORIZON FRAME — COLD DAWN GLARE — CRATER RIM — Detailed Description (write like a compact cinematic essay): Pale morning sunlight pierces the thin Martian haze, casting long sharp shadows across a fresh structural fracture on a steep forty-five-degree crater rim. A recent micro-meteorite impact has triggered a massive regolith landslide, stripping away centuries of rust-colored dust to expose a glinting edge of wrinkled gold insulation foil buried deep in the frozen ground. The unstable slope remains precarious, under immense tectonic tension. | CONTINUITY: fresh impact scar and exposed gold insulation foil | NEXT: tracking the debris field downward | AUDIO: thin wind scrape, distant rock slide hiss, radio static | VOICE : none
SCENE_SaoHoa03-002 — PRESET 1 — EXT — SLOW LATERAL TRACK — HARD MORNING SPILL — LANDSLIDE ZONE — Detailed Description (write like a compact cinematic essay): The camera tracks slowly across the jagged line of the secondary sessional collapse where loose red sand continuously trickles down into a dark volcanic fissure. The exposed metallic gold foil of the buried debris vibrates weakly under the force of the thin atmosphere, revealing a heavily oxidized steel structural bracket beneath it. No human tracks disturb the pristine, hostile landscape. | CONTINUITY: shifting regolith over buried golden metal structures | NEXT: panning to the deep impact center | AUDIO: gravel trickling down slope, metallic vibration, wind howl | VOICE : none
SCENE_SaoHoa03-003 — PRESET 1 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — SOUTHERN EMISTION ZONE — Detailed Description (write like a compact cinematic essay): A wider perspective captures the immense scale of the ancient impact basin under a darkening crimson sky as frozen carbon dioxide frost begins to crystallize on the upper rocks. Far below the rim, the golden foil glints like a solitary eye amidst the vast expanse of dead red desert sand, marking the location of an unresolved thermal anomaly. The environment is entirely static. | CONTINUITY: scale of the crater rim landslide and thermal anomaly site | NEXT: transitioning to the interior habitat wake-up | AUDIO: low-frequency atmosphere rumbling, quiet static hiss | VOICE : none
SCENE_SaoHoa03-004 — PRESET 1 — INT — FIXED INTERIOR FRAME — PALE SLEEPING-BAY GLOW — HAB QUARTERS — Detailed Description (write like a compact cinematic essay): Inside the cramped, shadow-drenched sleeping pod, [Aiden-charactor] wakes up abruptly to the sharp chirp of a low-voltage system alarm echoing through the metal walls. He sits up stiffly on the narrow canvas bunk, his middle-aged fifty-year-old face lined with profound exhaustion as he rubs his temples. A faint layer of fine red dust is visible on the edge of his personal storage locker. | CONTINUITY: baseline habitat exhaustion and low-voltage warning alarm | NEXT: inspecting the primary habitat power grid monitor | AUDIO: rhythmic life support hum, alarm chirp, weary sigh | VOICE : The habitat grid is bleeding power to the greenhouse, but the cold outside is creeping into the bulkheads earlier today. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-005 — PRESET 2 — INT — CONSTRAINED CORRIDOR FRAME — MAINTENANCE STRIP SPILL — HAB CORRIDOR — Detailed Description (write like a compact cinematic essay): Shuffling down the narrow corridor under the flicker of low-power overhead strips, [Aiden-charactor] stops in front of the main distribution switchboard. His heavy boots drag across the grated metal flooring as he stares at the blinking amber light indicating a severe grid overload. The air is cold and thin, carrying a faint scent of recycled plastic. He raises a calloused hand to adjust the manual breaker settings. | CONTINUITY: low-voltage grid alarm and heavy physical exhaustion | NEXT: proceeding toward the greenhouse stabilization chamber | AUDIO: rhythmic boot scuffs, faint cooling fan whine, electrical hum | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-006 — PRESET 2 — INT — MEASURED PUSH-IN — GREENHOUSE HUMIDITY HAZE — GREENHOUSE INTERIOR — Detailed Description (write like a compact cinematic essay): Pushing through the pressurized inner seal door, [Aiden-charactor] enters the humid, dimly lit greenhouse module where a single rows of experimental potato plants grows from dark regolith beds. The leaves are drooped slightly under the pale purple glow of the power-restricted growth lamps. He kneels down slowly beside the first containment bin, his knuckles white against the metal frame as he observes the soil condition. | CONTINUITY: grid power diversion and drooping potato crop status | NEXT: taking direct soil temperature readings | AUDIO: slow condensation drip, pressurized seal hiss, low fan whir | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-007 — PRESET 2 — INT — CLOSE STRUCTURAL INSERT — DIM POWER-SAVE LIGHTING — CROP BED — Detailed Description (write like a compact cinematic essay): The camera focuses closely on a digital thermal probe inserted deep into the xeric grey soil mixture where [Aiden-charactor] holds his fingers steady against the casing. The small red liquid crystal display flashes a critical two degrees Celsius, hovering precariously close to the absolute freezing point of the delicate root system. The surrounding air feels increasingly chilly as the primary heating ducks remain silent. | CONTINUITY: drop in greenhouse soil temperature to two degrees | NEXT: adjusting the primary climate control override panel | AUDIO: probe beep, heavy suit fabric friction, dull system click | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-008 — PRESET 3 — INT — ANCHORED OVER-SHOULDER — EMERGENCY PULSE REFLECTION — CONTROL DESK — Detailed Description (write like a compact cinematic essay): Looking over the hunched shoulder of [Aiden-charactor], the screen flashes with a stark red notification indicating a severe thermal depletion warning across the agricultural bay. He types a complex override command sequence with slow, deliberate keystrokes, forcing the auxiliary battery backup to maintain the minimum threshold for the experimental crop while sacrificing his own quarters. | CONTINUITY: critical thermal depletion and custom grid override | NEXT: evaluating long-range mission travel priorities | AUDIO: rapid terminal keystrokes, pulsing alarm chime, heavy breathing | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-009 — PRESET 1 — INT — MEDIUM STATIC WORKING FRAME — GREENHOUSE HUMIDITY HAZE — GREENHOUSE CORE — Detailed Description (write like a compact cinematic essay): Standing motionless between rows of endangered plants, [Aiden-charactor] shines an inspection light across the fragile green shoots. The deep silence reinforces the reality that these tubers represent the entire future of human habitability on this dead world. He gently touches a leaf with a worn finger. | CONTINUITY: preservation of endangered potato crop sprouts | NEXT: checking the long-range communications server rack | AUDIO: lone condensation drip, distant air drone | VOICE : Three small potatoes are the only yield from months of turning dead regolith into living soil. I can't let them freeze. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-010 — PRESET 2 — INT — CONSTRAINED CORRIDOR FRAME — MAINTENANCE STRIP SPILL — HAB CORRIDOR — Detailed Description (write like a compact cinematic essay): Moving away from the agricultural wing, [Aiden-charactor] walks down the dark interconnecting tunnel toward the main electronics bay. His posture is bent forward, carrying the heavy psychological weight of his isolated position as his boots click rhythmically against the floor. The cold air causes his breath to bloom into thin white plumes under the dim lighting. | CONTINUITY: drop in habitat temperature and structural cold creep | NEXT: inspecting the primary communications transceiver rack | AUDIO: rhythmic boot clicks, metallic echo, low infrastructure groan | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-011 — PRESET 2 — INT — CLOSE TOOL INSERT — REFLECTED MONITOR GLOW — SERVER RACK — Detailed Description (write like a compact cinematic essay): The camera frames a cascade of unread error logs on a diagnostic terminal where [Aiden-charactor] rests one hand against the cold metal casing. The screen displays a total failure of the primary high-frequency digital comms array, indicating that the recent dust storm has completely destroyed the external antenna masts. His fingers trace the dead connection lines. | CONTINUITY: complete digital communication array failure | NEXT: checking regional thermal data for alternatives | AUDIO: computer fan hum, static click, low-frequency electronics drone | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-012 — PRESET 2 — INT — ANCHORED OVER-SHOULDER — WORK-LAMP CONE — CONTROL DESK — Detailed Description (write like a compact cinematic essay): Watching over the shoulder of [Aiden-charactor], a regional satellite infrared thermal map populates slowly on the low-resolution workstation screen. A bright, localized thermal spike appears five kilometers south near the landslide sector of the ancient crater rim, indicating an unresolved structural exposure. He leans closer, analyzing the coordinate grid intently. | CONTINUITY: detection of a five-kilometer distant thermal spike | NEXT: planning the overland navigation route to the crater rim | AUDIO: low data processing beep, cooling fan whir, heavy breathing | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-013 — PRESET 2 — INT — FIXED INTERIOR FRAME — PALE SLEEPING-BAY GLOW — LAB WORKSTATION — Detailed Description (write like a compact cinematic essay): Spread across the metal desk, an old topographical map of the southern ridges is highlighted by a single task light as [Aiden-charactor] marks the navigation waypoints with a mechanical pencil. The route is highly treacherous, crossing fractured basalt plains and steep unstable slopes that could easily trap the heavy rover vehicle. He presses his thumb against the paper. | CONTINUITY: mapping a dangerous overland route to the landslide | NEXT: evaluating rover battery charging constraints | AUDIO: pencil scratching paper, distant valve hiss, hum of electronics | VOICE : none | IMAGES: Aiden-charactor
SCENE_SaoHoa03-014 — PRESET 1 — INT — RESTRAINED SIDE PROFILE — DIM POWER-SAVE LIGHTING — LAB DESK — Detailed Description (write like a compact cinematic essay): Sitting in the dim light of the lab, [Aiden-charactor] stares blankly at the mapped coordinates of the southern crater rim. His graying hair is disheveled, and his lined face shows the absolute solitude of a man who hasn't heard another human voice in years. He taps the pencil against the metal desk frame, making a dull sound. | CONTINUITY: isolation and preparation for the remote crater run | NEXT: entering the rover charging bay for equipment staging | AUDIO: rhythmic pencil tapping, low structural hum | VOICE : The infrared sensors picked up a thermal anomaly near the southern rim. A fresh impact might have uncovered a raw geothermal pocket. | IMAGES: Aiden-charactor
SCENE_SaoHoa03-015 — PRESET 2 — INT — MEDIUM STATIC WORKING FRAME — WORK-LAMP CONE — TECH BAY — Detailed Description (write like a compact cinematic essay): Standing before the massive heavy-duty rover battery terminal, [Aiden-charactor] checks the power transfer gauges under a harsh overhead lamp. The indicator needle shows that the vehicle is nearly fully charged, but the green light flashes intermittently, drawing precious voltage away from the main habitat system. He reaches out to secure the heavy locking collar. | CONTINUITY: rover battery charging status and habitat power drain | NEXT: shifting the manual electrical distribution switchboard | AUDIO: heavy relay click, transformer hum, thick insulated cable rattle | VOICE : none | IMAGES: Aiden-charactor
